publication_number,filing_date,publication_date,title,abstract,cpc_codes,cited_patents
US-2024119857-A1,20220927,20240411,Systems and methods for training a scene simulator using real and simulated agent data,"System, methods, and other embodiments described herein relate to training a scene simulator for rendering 2D scenes using data from real and simulated agents. In one embodiment, a method includes acquiring trajectories and three-dimensional (3D) views for multiple agents from observations of real vehicles. The method also includes generating a 3D scene having the multiple agents using the 3D views and information from simulated agents. The method also includes training a scene simulator to render scene projections using the 3D scene. The method also includes outputting a 2D scene having simulated observations for a driving scene using the scene simulator.",G06N3/0442|G06N3/0464|G06N3/096|G06N3/092|G06N3/045|G06N3/006,US-2016314224-A1|US-2018275658-A1|US-2019094875-A1|US-2019228571-A1|US-2020301799-A1|US-2020339109-A1|US-2021312244-A1|US-2022135086-A1|US-2022388532-A1|US-2024051575-A1|US-12037013-B1|US-12112259-B1
US-2023182019-A1,20230209,20230615,Multimodal experience modeling for gaming applications,"A system operates by generating BEA tools that include an AI model trained via machine learning based on prior game play; receiving game data and multimodal player data associated with a play of a gaming application by a player that includes verbal data generated from the player and non-verbal data generated from the player; generating a predicted user experience by applying the BEA tools to the game data and the multimodal player data, wherein the predicted user experience includes motivation data that indicates motivation scores for the player for each of a plurality of different motivations, and wherein each of the motivation scores for the player predicts an amount that the player is motivated by one of the plurality of different motivations while playing the gaming application; and facilitating adaptation of the gaming application based on the predicted user experience.",G06N3/047|G06N3/048|G06N3/045|G06N3/08|G06N3/006|G06N3/092|G06N3/0464|G06N3/09,
US-2021216862-A1,20200115,20210715,System and method for semantic analysis of multimedia data using attention-based fusion network,"A system and a method for multimedia data analysis. The system includes a computing device. The computer device includes a processor and a storage device storing computer executable code. The computer executable code, when executed at the processor, is configured to: encode task description and task meta info into concatenated task vectors; encode context text and context meta info into concatenated context text vectors; encode context image and the context meta info into concatenated context image vectors; perform dual coattention on the concatenated task vectors and the concatenated context text and image vectors to obtain attended task vectors and attended context vectors; perform BiLSTM on the attended task vectors and the attended context vectors to obtain task encoding and context encoding; and decode the task encoding and the context encoding to obtain an answer to the task.",G06N3/08|G06N3/045|G06N3/045|G06N3/044|G06N3/0455|G06N3/0464|G06N3/09|G06N3/0442|G06N3/08|G06N3/0454|G06N3/08,
US-2021169389-A1,20210107,20210610,Mood tracking and delivery of a therapeutic based on Emotional or Mental State of a User,"The system features a a method for mood tracking and delivery of a digital/dosage-dependent therapeutic, comprising the steps of: detecting a release of a mood-governing chemical in a user&#39;s body via an adhesive detector patch (ADP); assessing and tracking of the mood-governing chemical to determine an emotional or mental state (EMS) of a user; and delivering at least a primary-level message (digital therapeutic) personalized to the user based on at least one of a stored message coupled to the emotional and mental state (EMS).",G06N3/0464|G06N3/08,
US-10733085-B1,20180205,20200804,Detecting impedance mismatches due to cross-service calls,"Systems and methods are described for conducting static analysis of code invoking network-based services to identify, without requiring execution of the code, an impedance mismatch between an expected execution rate of the code and an invocation capacity of a service invoked within the code. A system is provided that may analyze code to detect both direct invocations of services, as well as indirect invocations caused by the direct invocations. The system can utilize information regarding directly or indirectly invoked services to determine whether an expected invocation rate of such services will exceed invocation capacity for the services. In some instances, the system can traverse a “call graph” of all services invoked by code either directly or indirectly to identify impedance mismatches through multiple levels of indirection.",G06N3/02,US-4949254-A|US-5283888-A|US-5970488-A|US-2001044817-A1|US-6385636-B1|US-2002120685-A1|JP-2002287974-A|US-6463509-B1|US-2002172273-A1|US-6501736-B1|US-6523035-B1|US-2003071842-A1|US-2003084434-A1|US-2003229794-A1|US-2004003087-A1|US-2004049768-A1|US-6708276-B1|US-2004098154-A1|US-2004158551-A1|US-2004205493-A1|US-2004249947-A1|US-2004268358-A1|US-2005027611-A1|US-2005044301-A1|US-2005120160-A1|US-2005132167-A1|US-2005132368-A1|US-2005149535-A1|US-2005193113-A1|US-2005193283-A1|US-2005237948-A1|US-2005257051-A1|JP-2006107599-A|US-7036121-B1|US-2006123066-A1|US-2006129684-A1|US-2006184669-A1|US-2006200668-A1|US-2006212332-A1|US-2006242647-A1|US-2006248195-A1|US-2007094396-A1|US-2007130341-A1|US-2007174419-A1|US-2007192082-A1|US-2007199000-A1|US-2007220009-A1|US-2007240160-A1|US-2007255604-A1|JP-2007538323-A|US-2008028409-A1|US-2008052401-A1|US-2008052725-A1|US-2008082977-A1|US-2008104608-A1|US-2008104247-A1|US-2008127125-A1|US-2008126486-A1|US-2008126110-A1|US-2008147893-A1|US-2008189468-A1|US-2008195369-A1|US-2008201711-A1|US-2008201568-A1|US-2008209423-A1|WO-2008114454-A1|US-2009006897-A1|US-2009013153-A1|US-2009025009-A1|US-2009055829-A1|US-2009055810-A1|US-2009070355-A1|US-2009077569-A1|US-2009125902-A1|US-2009158275-A1|US-2009177860-A1|US-2009193410-A1|US-2009198769-A1|US-2009204964-A1|US-2009204960-A1|US-2009222922-A1|US-7590806-B2|US-2009271472-A1|WO-2009137567-A1|US-2009288084-A1|US-2009300599-A1|US-2010023940-A1|US-2010031325-A1|US-2010031274-A1|JP-2010026562-A|US-2010036925-A1|US-7665090-B1|US-2010058342-A1|US-2010064299-A1|US-2010070725-A1|US-2010070678-A1|US-7707579-B2|US-2010106926-A1|US-2010115098-A1|US-2010114825-A1|US-2010122343-A1|US-2010131959-A1|US-2010131936-A1|US-7730464-B2|US-2010186011-A1|US-2010198972-A1|US-2010199285-A1|US-7774191-B2|US-2010257116-A1|US-2010269109-A1|US-7823186-B2|US-2010312871-A1|US-2010325727-A1|US-2011010722-A1|US-2011029970-A1|US-7886021-B2|US-2011040812-A1|US-2011055683-A1|US-2011055396-A1|US-2011055378-A1|US-2011078679-A1|US-2011099551-A1|US-2011099204-A1|US-2011131572-A1|US-2011134761-A1|US-2011141124-A1|US-2011154353-A1|US-2011153727-A1|US-2011153838-A1|US-2011179162-A1|US-2011184993-A1|US-8010990-B2|US-2011225277-A1|US-8024564-B2|US-2011231680-A1|US-2011247005-A1|US-8046765-B2|US-2011265164-A1|US-8051266-B2|US-8051180-B2|US-2011271276-A1|US-2011276945-A1|JP-2011233146-A|US-8065682-B2|US-8065676-B1|US-2011314465-A1|JP-2011257847-A|US-2011321033-A1|US-8095931-B1|US-2012011496-A1|US-2012016721-A1|US-2012041970-A1|US-8127284-B2|US-2012054744-A1|US-2012072914-A1|US-2012072762-A1|US-8146073-B2|US-2012079004-A1|US-2012096271-A1|WO-2012050772-A1|US-2012096468-A1|US-8166304-B2|US-2012102481-A1|US-2012102333-A1|US-2012102307-A1|US-8171473-B2|US-2012110588-A1|US-2012110155-A1|US-2012110164-A1|US-2012110570-A1|US-2012131379-A1|US-2012144290-A1|US-8209695-B1|US-8219987-B1|US-2012192184-A1|US-2012197958-A1|US-2012197795-A1|US-2012198442-A1|US-2012222038-A1|US-2012233464-A1|US-8321558-B1|US-8321554-B2|US-8336079-B2|US-2012331113-A1|US-8352608-B1|US-2013014101-A1|US-2013042234-A1|US-8387075-B1|US-2013054804-A1|US-2013055262-A1|US-2013054927-A1|US-2013061208-A1|US-2013067494-A1|US-2013080641-A1|US-2013097601-A1|US-8429282-B1|US-2013111032-A1|US-2013111469-A1|US-2013124807-A1|US-8448165-B1|US-2013132942-A1|US-2013139152-A1|US-2013139166-A1|US-2013152047-A1|US-2013151648-A1|US-2013179881-A1|US-2013179574-A1|US-2013179895-A1|US-2013179894-A1|US-8490088-B2|US-2013185729-A1|WO-2013106257-A1|US-2013185719-A1|US-2013191924-A1|US-2013198748-A1|US-2013198319-A1|US-2013198763-A1|US-2013198743-A1|US-2013205092-A1|JP-2013156996-A|US-2013219390-A1|US-2013227710-A1|US-2013227097-A1|US-2013227641-A1|US-2013227534-A1|US-2013227563-A1|US-2013232480-A1|US-2013239125-A1|US-2013262556-A1|US-2013263117-A1|US-8555281-B1|US-2013275975-A1|US-2013275376-A1|US-2013275969-A1|US-2013275958-A1|US-8566835-B2|US-2013283176-A1|US-2013290538-A1|US-2013291087-A1|US-2013297964-A1|EP-2663052-A1|US-8613070-B1|US-2013339950-A1|US-2013347095-A1|US-2013346994-A1|US-2013346987-A1|US-2013346964-A1|US-2013346946-A1|US-2014007097-A1|US-8631130-B2|US-2014019523-A1|US-2014019966-A1|US-2014019965-A1|US-2014019735-A1|US-2014040880-A1|US-2014040343-A1|US-2014040857-A1|US-2014059209-A1|US-2014059552-A1|US-2014059226-A1|US-2014068568-A1|US-2014068611-A1|US-8677359-B1|US-2014082165-A1|US-2014081984-A1|US-8694996-B2|US-2014101649-A1|US-8700768-B2|US-2014108722-A1|US-2014109088-A1|US-2014109087-A1|US-8719415-B1|US-2014129667-A1|US-2014130040-A1|US-8725702-B1|US-2014137110-A1|US-8756696-B1|US-2014173616-A1|US-2014173614-A1|US-2014180862-A1|US-8769519-B2|US-2014189677-A1|US-2014201735-A1|US-2014207912-A1|US-2014215073-A1|US-8799879-B2|US-8799236-B1|US-8806468-B2|US-8819679-B2|US-2014245297-A1|US-8825964-B1|US-8825863-B2|US-8839035-B1|US-2014282615-A1|US-2014280325-A1|US-2014283045-A1|US-2014279581-A1|US-2014289286-A1|JP-2014525624-A|US-8850432-B2|US-2014298295-A1|US-2014304815-A1|US-2014304698-A1|US-2014317617-A1|US-8874952-B2|US-2014344457-A1|US-2014344736-A1|US-8904008-B2|US-2014380085-A1|US-2015033241-A1|US-2015040229-A1|US-2015039891-A1|US-2015046926-A1|US-2015052258-A1|US-2015058914-A1|US-2015067830-A1|US-2015074659-A1|US-2015081885-A1|US-8997093-B2|US-2015106805-A1|US-2015120928-A1|US-9027087-B2|US-2015135287-A1|US-2015134626-A1|US-9038068-B2|US-2015142952-A1|US-2015143381-A1|WO-2015078394-A1|US-9052935-B1|US-2015178110-A1|US-2015188775-A1|US-2015186129-A1|US-2015199218-A1|US-9086897-B2|WO-2015108539-A1|US-2015205596-A1|US-9092837-B2|US-9098528-B2|US-2015227598-A1|US-9111037-B1|US-9110770-B1|US-9110732-B1|US-9112813-B2|US-2015235144-A1|US-2015242225-A1|US-2015256621-A1|US-2015254248-A1|US-2015261578-A1|US-9141410-B2|US-9146764-B1|US-9152406-B2|US-2015289220-A1|US-9164754-B1|US-2015309923-A1|US-2015319160-A1|US-9183019-B2|US-2015332048-A1|US-2015350701-A1|US-9208007-B2|US-2015356294-A1|US-2015363181-A1|US-9218190-B2|US-2015371244-A1|US-2015370560-A1|US-9223966-B1|US-9223561-B2|US-2015378765-A1|US-2015378762-A1|US-2015378764-A1|US-2015379167-A1|US-2016012099-A1|US-2016019536-A1|US-2016026486-A1|US-9250893-B2|US-2016048606-A1|US-9268586-B2|US-2016072727-A1|US-2016077901-A1|US-9298633-B1|US-2016100036-A1|WO-2016053968-A1|US-2016098285-A1|WO-2016053973-A1|WO-2016053950-A1|US-9317689-B2|US-9323556-B2|US-2016117254-A1|US-2016124665-A1|US-2016140180-A1|US-9361145-B1|WO-2016090292-A1|US-2016191420-A1|US-9413626-B2|WO-2016126731-A1|US-9436555-B2|US-2016285906-A1|US-9461996-B2|US-2016292016-A1|US-2016294614-A1|WO-2016164638-A1|US-2016301739-A1|WO-2016164633-A1|US-9471775-B1|US-2016306613-A1|US-9483335-B1|US-9489227-B2|US-9497136-B1|US-9501345-B1|US-2016350099-A1|US-9514037-B1|US-2016357536-A1|US-2016364265-A1|US-2016371156-A1|US-2016371127-A1|US-2016378554-A1|US-2016378449-A1|US-9537788-B2|US-2017041309-A1|US-9575798-B2|US-2017060621-A1|US-9588790-B1|US-2017068574-A1|US-9594590-B2|US-9596350-B1|US-2017075749-A1|US-9600312-B2|US-2017085447-A1|US-2017085591-A1|US-2017083381-A1|US-2017093684-A1|US-2017090961-A1|US-2017093920-A1|WO-2017059248-A1|US-9628332-B2|US-9635132-B1|US-2017116051-A1|US-9652306-B1|US-9654508-B2|US-9652617-B1|US-9661011-B1|US-9678773-B1|US-9678778-B1|US-2017177391-A1|US-2017177413-A1|WO-2017112526-A1|US-2017192804-A1|US-9703681-B2|US-2017199766-A1|US-2017206116-A1|US-9715402-B2|US-9727725-B2|US-2017230499-A1|US-9733967-B2|US-9760387-B2|US-9767271-B2|US-2017272462-A1|US-2017286143-A1|US-2017286156-A1|WO-2017172440-A1|US-9787779-B2|US-9785476-B2|US-9811434-B1|US-9811363-B1|JP-2017534107-A|JP-2017534967-A|US-9830193-B1|US-9830449-B1|US-9830175-B1|US-2017371706-A1|US-2017371703-A1|US-2017371724-A1|US-2018004572-A1|US-2018004553-A1|US-9864636-B1|JP-2018503896-A|US-2018039506-A1|US-2018046453-A1|US-2018046482-A1|US-2018060221-A1|US-9910713-B2|US-2018067841-A1|US-9921864-B2|US-9929916-B1|US-9930133-B2|US-9928108-B1|US-9930103-B2|US-9952896-B2|US-2018121245-A1|JP-2018512087-A|US-9979817-B2|US-9977691-B2|US-2018143865-A1|US-10002026-B1|US-10013267-B1|US-2018203717-A1|US-10042660-B2|US-10048974-B1|US-10061613-B1|US-10067801-B1|US-2018275987-A1|US-10102040-B2|US-10108443-B2|US-2018309819-A1|US-10140137-B2|US-10139876-B2|JP-2018536213-A|US-10162672-B2|US-10162688-B2|US-10203990-B2|US-2019072529-A1|US-10248467-B2|US-2019102231-A1|US-2019108058-A1|US-10277708-B2|US-2019155629-A1|US-10303492-B1|US-2019171470-A1|US-2019196884-A1|US-10353746-B2|US-10353678-B1|US-2019227849-A1|US-10365985-B2|US-10387177-B2|US-10402231-B2|US-10437629-B2|US-2019384647-A1|US-10528390-B2|US-10564946-B1|US-10572375-B1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
US-10482334-B1,20180917,20191119,Driver behavior recognition,"Driver behavior recognition may be provided using a processor and a memory. The memory may receive an image sequence and a corresponding vehicle data signal sequence. The processor may generate or process features for each frame of the respective sequences. The processor may generate a first feature vector based on the image sequence and a first neural network. The processor may generate a second feature vector based on a fully connected layer and the vehicle data signal sequence. The processor may generate a fusion feature by performing data fusion based on the first feature vector and the second feature vector. The processor may process the fusion feature using a long short term memory layer and store the processed fusion feature as a recognized driver behavior associated with each corresponding frame. The processor may, according to other aspects, generate the fusion feature based on a third feature vector.",G06N3/084|G06N3/044|G06N3/045|G06N3/084|G06N3/082|G06N3/0454|G06N3/08|G06N3/0442|G06N3/045|G06N3/09|G06N3/0442|G06N3/0895|G06N3/0464,US-2018165554-A1|US-2019012574-A1|US-2019065872-A1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
US-2023274158-A1,20210923,20230831,"Device and method for neural network computing, and board and readable storage medium","The present disclosure relates to an apparatus and a method for performing neural network computing, a board card, and a readable storage medium. The computing apparatus of the present disclosure is included in an integrated circuit apparatus. The integrated circuit apparatus includes a general interconnection interface and other processing apparatus. The computing apparatus interacts with other processing apparatus to jointly complete a computing operation specified by a user. The integrated circuit apparatus further includes a storage apparatus. The storage apparatus is connected to the computing apparatus and other processing apparatus, respectively. The storage apparatus is used for data storage of the computing apparatus and other processing apparatus.",G06N3/0464|G06N3/063|G06N3/048|G06N3/10|G06N3/10,US-2019325309-A1|US-2020348662-A1|US-2021157312-A1|US-2021174214-A1
US-2019147350-A1,20170420,20190516,"Method and device for presenting prediction model, and method and device for adjusting prediction model","A method and device for presenting a prediction model, and a method and device for adjusting a prediction model. The method for presenting a prediction model includes: obtaining at least one prediction result of a prediction model for at least one prediction sample; obtaining at least one decision-making tree training sample for training a decision-making tree model according to the at least one prediction sample and the at least one prediction result, the decision-making tree model being used for fitting the prediction model; training the decision-making tree model by using at least one decision-making tree training sample; and visually presenting the trained decision-making tree model. By means of the method, a prediction model hard to understand can be approximated to a decision-making tree model, and the approximated decision-making tree model is presented, so that a user better understands the prediction model according to the presented decision-making tree model.",G06N3/08|G06N3/08,US-2009030864-A1
US-2019122108-A1,20181003,20190425,Systems and methods for trace norm regularization and faster inference for embedded models,"Described herein are systems and methods for compressing and speeding up dense matrix multiplications as found, for examples, in the fully connected and recurrent layers of neural networks for embedded large vocabulary continuous speech recognition (LVCSR). For compression, trace norm regularization technique embodiments were introduced and studied for training low rank factored versions of matrix multiplications. Compared to standard low rank training, the methods more consistently lead to good accuracy versus number of parameter trade-offs and can be used to speed-up training of large models. Faster inference may be further enabled on ARM processors through kernels optimized for small batch sizes, resulting in speed ups over the currently used library. Beyond LVCSR, the techniques are also generally applicable to embedded neural networks with large fully connected or recurrent layers.",G06N3/08|G06N3/044|G06N3/045|G06N3/047|G06N3/048|G06N3/0442|G06N3/08|G06N3/08|G06N3/09|G06N3/0495|G06N3/0442,
US-2019279088-A1,20190529,20190912,"Training method, apparatus, chip, and system for neural network model","A method for training a neural network model are disclosed. Each training period includes K iterations, and for an ith iteration of one of N worker modules within each training period, each worker module performs in parallel the following steps: calculating a model parameter of an (i+1)th iteration based on a local gradient of the ith iteration and a model parameter of the ith iteration, and if i is less than K, calculating a local gradient of the (i+1)th iteration based on the model parameter of the (i+1)th iteration and sample data of the (i+1)th iteration; and pulling, by the worker module, a global gradient of an rth iteration from a server module and/or pushing, by the worker module, a local gradient of an fth iteration to the server module. In this way, time windows of a calculation process and a communication process overlap, thereby reducing time delay.",G06N3/08|G06N3/084|G06N3/08|G06N3/04|G06N3/04|G06N3/08|G06N3/098|G06N3/0464|G06N3/09|G06N3/0442|G06N3/084,
US-2021064882-A1,20200228,20210304,Method for searching video and equipment with video search function,"A method for searching a video and equipment with a video search function are provided. The method for searching a video includes constructing a video DB by analyzing continuity of a tag given to an appearing object and extracting section information about the tag, and detecting video information. An object may be recognized, a video database may be constructed, and a video may be searched on the basis of analysis based on an artificial intelligence (AI) model through a 5G network.",G06N3/045|G06N3/0464|G06N3/09|G06N3/096|G06N3/08|G06N3/02|G06N3/08|G06N3/04|G06N3/04|G06N3/08,US-2008180525-A1|WO-2010019024-A2|US-2012176364-A1|US-2015100578-A1
US-11468524-B2,20190412,20221011,Reducing the cost of electrical energy in a manufacturing plant,"A system is presented for predicting the amount of energy required by a manufacturing plant over a period of time, and then providing a recommendation on the best amount of energy to sell at each period, taking into consideration the energy requirements based on the production schedule, the price of energy, possible penalties for over selling energy, and other factors. A user interface is provided to present relevant information to a user, allow the user to plan the use of energy, and determine the energy offering for sale in each period. Based on a known future production schedule of a steel mill, implementations provide a forecast of electrical energy usage per hour over the same time horizon as the production schedule. Based on the forecast and electricity selling and billing rules, a recommended amount of energy to be sold to the market by the hour is presented with the corresponding offer price.",G06N3/09|G06N3/08,EP-0747811-A2|US-5768505-A|US-6018742-A|US-6429860-B1|US-6523037-B1|US-6993137-B2|US-7440901-B1|EP-1677209-B1|US-2011088011-A1|US-8024374-B2|EP-2579150-A1|US-2013091431-A1|US-2013268553-A1|US-2014316973-A1|US-2019086882-A1|US-2019372345-A1|US-2020327626-A1||||||||||||
US-11514038-B2,20191025,20221129,Systems and methods for quantum global optimization,"A method for global optimization is disclosed. The method may include receiving a search request that may include an input. The method may further determine an amount of rotations necessary to perform the search request with a Grover Search algorithm. Then, the method may include determining that the amount of rotations is less than a predefined amount. Further, the method may generate one or more quantum walks. The one or more quantum walks and the Grover Search algorithm may be used to generated a global optimization algorithm. The method may then execute the global optimization algorithm to identify the input.",G06N3/126,US-6578018-B1|US-2004024750-A1|US-7028275-B1|US-2006224547-A1|US-2009164435-A1|US-2011145288-A1|US-2013096698-A1|US-2017076220-A1|US-2018032896-A1|US-2018189653-A1|US-2018246851-A1|US-2019220782-A1|US-2019220497-A1|US-2019258696-A1|US-2019392343-A1|US-2020134503-A1|US-2020349459-A1|US-10860759-B2|US-2021374761-A1|US-2021406954-A1|US-11238043-B2|US-11245519-B1|US-11366897-B1|US-2022231844-A1|US-11449799-B1
US-2024177869-A1,20221130,20240530,Method and system for generating a plurality of antibody sequences of a target from one or more framework regions,A method and system for generating a plurality of antibody sequences of a target from one or more framework regions based on at least one model. The model is trained on a training dataset of high binding affinity to generate the complementarity determining regions (CDR) from the received one or more framework regions (FR). The generated complementarity determining regions (CDR) from the each of the one or more framework regions (FR) are combined with the associated one or more framework regions to generate one or more regions of the target. The generated one or more regions comprises each of the received one or more framework regions (FR) and corresponding each of the generated complementarity determining regions (CDR). The generated one or more regions are concatenated to generate the plurality of antibody sequences of the target. The generated plurality of antibody sequences of the target has high binding affinity.,G06N3/08|G06N3/045|G06N3/044|G06N3/0442|G06N3/0442|G06N3/0442,
US-11748796-B2,20200319,20230905,Automatic clustering and mapping of user generated content with curated content,"Methods, systems, and non-transitory computer readable media are disclosed for determining a sub-set of user-submitted images that are similar to a curated image and presenting the sub-set of user-submitted images in connection with the curated image. The disclosed system presents a curated image depicting a product via a graphical user interface (e.g., on an e-commerce platform). In one or more embodiments, the disclosed system extracts feature vectors from the curated image and a plurality of user-submitted images. The disclosed system compares the feature vectors from the curated image and the plurality of user-submitted images to determine a sub-set of user-submitted images that are similar to the curated image. The disclosed system presents the sub-set of user-submitted images based on a user selection of the curated image.",G06N3/0455|G06N3/09|G06N3/0464|G06N3/04|G06N3/08|G06N3/088|G06N3/088|G06N3/045|G06N3/08|G06N3/04|G06N3/088,US-2013083999-A1|US-2017161957-A1|US-2017193545-A1|US-2019258895-A1|US-2019340392-A1|US-2020174149-A1|US-2021201373-A1|US-2021241035-A1|
US-2023111445-A1,20221007,20230413,Neural network based methods and systems for increasing approval rates of payment transactions,"Embodiments of present disclosure provide methods and systems for increasing transaction approval rate. Method performed includes accessing transaction features and determining via fraud model and approval model, first and second set of rank-ordered transaction features. Method includes computing difference in ranks of transaction features and determining set of utilized and unutilized transaction features and generating simulated authorizing model and computing simulated transaction approval rate and simulated fraud transaction rate for simulated authorizing model. Method includes generating plurality of proxy authorization models. Method includes computing transaction approval rates and fraud transaction rates for each of plurality of proxy authorization models and computing an increase in transaction approval rate and change in fraud transaction rate for each of plurality of proxy transaction approval models. Method includes determining one or more recommended transaction features from set of unutilized transaction features and transmitting one or more recommended transaction features to authorizing entity.",G06N3/04|G06N3/08|G06N3/08|G06N3/04|G06N3/084|G06N3/088,
US-11100116-B2,20181030,20210824,Recommendation systems implementing separated attention on like and dislike items for personalized ranking,"A computer-implemented method for implementing separated attention on like and dislike items for personalized ranking includes performing an element-wise product on a user embedding and a final like item embedding to generate a first vector. The method further includes performing an element-wise product on the user embedding and a final dislike item embedding to generate a second vector. The method further includes computing a probability that the user prefers the like item to the dislike item based on the first and second vectors, and generating one or more item recommendations including one or more electronic images for the user using the probability.",G06N3/045|G06N3/09|G06N3/0499|G06N3/08,US-7685232-B2|US-8341098-B2|US-8626604-B1|US-9009096-B2|US-9348898-B2|US-9418375-B1|US-2017140262-A1|US-2017185894-A1|US-2019012573-A1|US-2019164069-A1|US-10366399-B1|US-2019251435-A1|US-2019370854-A1|US-10540396-B2|US-10824941-B2||||
US-2023177329-A1,20200608,20230608,"Information processing apparatus, information processing method, and computer-readable recording medium","Provided is an information processing apparatus configured for determining an encryption target from a plurality of weights of a model trained by deep learning, the information processing apparatus includes an encryption target weight selection means for selecting, from among the plurality of weights, a weight of an encryption target, an encryption target weight changing means for changing the selected weight in the trained model, an inference accuracy evaluation means for evaluating an inference accuracy of the trained model with the changed weight, and a control means for repeating selection of the weight by the encryption target weight selection unit until the inference accuracy reaches a target accuracy or less.",G06N3/08|G06N3/08|G06N3/045|G06N3/084|G06N3/08,US-2019065974-A1|US-2020019867-A1|US-2021056412-A1|US-2021073393-A1|US-2021117760-A1|US-2022036203-A1
US-2025028962-A1,20240719,20250123,Segment sequencing artificial intelligence topology with influence generation,"Optional segmented generative AI (Artificial Intelligence) topologies with multiple AI type outputs participate to serve overall AI generation objectives. Multiple remote and local topology nodes within overall topology segments utilize pattern based influence along with both inner and inter segment influence to adapt as new generations occur, to maintain context and to address changing circumstances. Outside influence delivers such change notifications. AI output and input interface elements provide some such change notifications and provide alternatives to conventional driver based circuit architectures. Support processing nodes, discriminative AI elements, generative AI elements along with outside influence from input, output and communication circuitry along with other outside interactions are arranged in sub-segments that are carried out to deliver generated pieces of a multimedia based objective. Segment breaks allow for user review interaction along a segmented generation flow for editing and regeneration interactions. Personalized and random elements of influence, e.g., via objective, episodic and content patterns constrain AI generation via influence to hold to expected and desired output flow across segments. Inner and inter segment influence is delivered in a feed forward, feedback and cyclical manner, wherein correlation evaluations play part. Too much or too little correlation also drives regeneration cycling. Random influence via inherent and random tags requiring population before application within patterns. Random tags may comprise tree structures of randomness generated in lists from private and public data.",G06N3/045|G06N3/063|G06N3/082|G06N3/08|G06N3/08|G06N3/082|G06N3/082,
US-12482068-B2,20220415,20251125,Method and system for determining auto-exposure for high-dynamic range object detection using neural network,"An auto-exposure control is proposed for high dynamic range images, along with a neural network for exposure selection that is trained jointly, end-to-end with an object detector and an image signal processing (ISP) pipeline. Corresponding method and system for high dynamic range object detection are also provided.",G06N3/045|G06N3/084|G06N3/09|G06N3/0464|G06N3/045|G06N3/08|G06N3/084|G06N3/045,US-2005057670-A1|US-6919892-B1|US-7053612-B2|US-7117916-B2|US-2009109306-A1|US-7570194-B2|US-7821266-B2|US-8160149-B2|US-8295565-B2|US-8339475-B2|US-8352400-B2|US-8401248-B1|US-8451504-B2|US-8462996-B2|US-8525287-B2|US-8620852-B1|US-8675105-B2|US-8676731-B1|US-8687879-B2|US-8724910-B1|WO-2014206503-A1|US-8948537-B2|US-9113846-B2|US-9172889-B2|US-9275445-B2|US-2017011710-A1|CN-106408030-A|US-9654699-B2|US-9852492-B2|US-9881234-B2|US-9928418-B2|US-9965863-B2|US-9978003-B2|US-9984325-B1|US-10460231-B2|US-10565734-B2|US-11055827-B2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
US-12327143-B2,20230803,20250610,Memory for a neural network processing system,"A method may include partitioning a tensor that includes a plurality of data values into a number (K) of subtensors, where each of the K subtensors may include a respective subset of the plurality of data values. The method may also include retrieving one or more first data values of the subset of data values included in a first subtensor of the K subtensors in accordance with an access pattern associated with a neural network processor. The method may include storing the one or more first data values of the subset of data values in one of K segments of cache memory, where each of the K segments may be associated with a respective one of the K subtensors. Further, the method may include processing, using the neural network processor, the one or more first data values of the subset of data values in accordance with the access pattern.",G06N3/08|G06N3/084|G06N3/045|G06N3/063|G06N3/08|G06N3/0464|G06N3/063,US-5801670-A|US-2015052286-A1|US-2015370569-A1|US-11126574-B1|US-2021373895-A1|US-2022156551-A1|US-11556757-B1|US-2023048845-A1|US-2023289292-A1|||
US-2021092611-A1,20200918,20210325,Security-enhanced Deep Learning Fingerprint-Based Indoor Localization,"An exemplary radio fingerprint-based indoor localization method and system is disclosed that is resistant to spoofing or jamming attacks (e.g., at nearby radios, e.g., access points), among other types of interference. The exemplary method and system may be applied in the configuring of a secured convolutional neural network (S-CNNLOC) or secured deep neural network configured for attack-resistant fingerprint-based indoor localization.",G06N3/045|G06N3/0895|G06N3/09|G06N3/0464|G06N3/08|G06N3/04|G06N3/08|G06N3/04,US-2018308013-A1|US-10716089-B1|US-11032022-B1
US-9996555-B1,20170801,20180612,Region-specific image download probability modeling,"Methods for prioritizing a set of images identified as responsive to an image search query from a user based on features of the images identified as relevant to a geographic region of the user are provided. In one aspect, the method includes submitting a plurality of images to a computer-operated convolutional neural network that is configured to analyze image pixel data for each of the plurality of images to identify features, in each of the plurality of images, influencing a download probability of the corresponding image in a plurality of geographic regions. The method also includes receiving, from the neural network and for each of the plurality of images, a download probability of each image for each of the plurality of geographic regions. Systems and machine-readable media are also provided.",G06N3/084|G06N3/045|G06N3/0464|G06N3/09|G06N3/084,US-2012084731-A1|CN-103593474-A|US-2015370830-A1|US-9305088-B1|US-2016358024-A1|US-2017091189-A1|||
